p_f_pct,Winter_exact,Spring_exact,Summer_exact,Autumn_exact,Winter_op,Spring_op,Summer_op,Autumn_op,S1_exact,S1_op
70.4,24.229,24.578,25.116,24.672,24.25,24.5,25.0,24.75,25.517,25.5
70.9,24.235,24.585,25.125,24.679,24.25,24.5,25.0,24.75,25.52,25.5
71.4,24.242,24.593,25.133,24.687,24.25,24.5,25.25,24.75,25.523,25.5
71.9,24.249,24.6,25.142,24.695,24.25,24.5,25.25,24.75,25.527,25.5
72.4,24.255,24.607,25.151,24.702,24.25,24.5,25.25,24.75,25.53,25.5
72.9,24.262,24.615,25.159,24.71,24.25,24.5,25.25,24.75,25.533,25.5
73.4,24.268,24.622,25.168,24.717,24.25,24.5,25.25,24.75,25.536,25.5
73.9,24.275,24.63,25.176,24.725,24.25,24.75,25.25,24.75,25.539,25.5
74.4,24.282,24.637,25.185,24.733,24.25,24.75,25.25,24.75,25.542,25.5
74.9,24.288,24.644,25.194,24.74,24.25,24.75,25.25,24.75,25.545,25.5
75.4,24.295,24.652,25.202,24.748,24.25,24.75,25.25,24.75,25.548,25.5
75.9,24.302,24.659,25.211,24.756,24.25,24.75,25.25,24.75,25.552,25.5
76.4,24.308,24.667,25.219,24.763,24.25,24.75,25.25,24.75,25.555,25.5
76.9,24.315,24.674,25.228,24.771,24.25,24.75,25.25,24.75,25.558,25.5
77.4,24.322,24.681,25.237,24.778,24.25,24.75,25.25,24.75,25.561,25.5
77.9,24.328,24.689,25.245,24.786,24.25,24.75,25.25,24.75,25.564,25.5
78.4,24.335,24.696,25.254,24.794,24.25,24.75,25.25,24.75,25.567,25.5
78.9,24.342,24.704,25.262,24.801,24.25,24.75,25.25,24.75,25.57,25.5
79.4,24.348,24.711,25.271,24.809,24.25,24.75,25.25,24.75,25.573,25.5
79.9,24.355,24.718,25.28,24.817,24.25,24.75,25.25,24.75,25.577,25.5
80.4,24.362,24.726,25.288,24.824,24.25,24.75,25.25,24.75,25.58,25.5
80.9,24.368,24.733,25.297,24.832,24.25,24.75,25.25,24.75,25.583,25.5
81.4,24.375,24.741,25.305,24.84,24.25,24.75,25.25,24.75,25.586,25.5
81.9,24.382,24.748,25.314,24.847,24.5,24.75,25.25,24.75,25.589,25.5
82.4,24.388,24.755,25.323,24.855,24.5,24.75,25.25,24.75,25.592,25.5
82.9,24.395,24.763,25.331,24.862,24.5,24.75,25.25,24.75,25.595,25.5
83.4,24.402,24.77,25.34,24.87,24.5,24.75,25.25,24.75,25.598,25.5
83.9,24.408,24.778,25.349,24.878,24.5,24.75,25.25,25.0,25.601,25.5
84.4,24.415,24.785,25.357,24.885,24.5,24.75,25.25,25.0,25.605,25.5
84.9,24.422,24.792,25.366,24.893,24.5,24.75,25.25,25.0,25.608,25.5
85.4,24.428,24.8,25.374,24.901,24.5,24.75,25.25,25.0,25.611,25.5
85.9,24.435,24.807,25.383,24.908,24.5,24.75,25.5,25.0,25.614,25.5
86.4,24.442,24.815,25.392,24.916,24.5,24.75,25.5,25.0,25.617,25.5
86.9,24.448,24.822,25.4,24.923,24.5,24.75,25.5,25.0,25.62,25.5
87.4,24.455,24.829,25.409,24.931,24.5,24.75,25.5,25.0,25.623,25.5
87.9,24.461,24.837,25.417,24.939,24.5,24.75,25.5,25.0,25.626,25.75
88.4,24.468,24.844,25.426,24.946,24.5,24.75,25.5,25.0,25.63,25.75
88.9,24.475,24.852,25.435,24.954,24.5,24.75,25.5,25.0,25.633,25.75
89.4,24.481,24.859,25.443,24.962,24.5,24.75,25.5,25.0,25.636,25.75
89.9,24.488,24.866,25.452,24.969,24.5,24.75,25.5,25.0,25.639,25.75
90.5,24.495,24.874,25.46,24.977,24.5,24.75,25.5,25.0,25.642,25.75
91.0,24.501,24.881,25.469,24.984,24.5,25.0,25.5,25.0,25.645,25.75
91.5,24.508,24.889,25.478,24.992,24.5,25.0,25.5,25.0,25.648,25.75
92.0,24.515,24.896,25.486,25.0,24.5,25.0,25.5,25.0,25.651,25.75
92.5,24.521,24.903,25.495,25.007,24.5,25.0,25.5,25.0,25.655,25.75
93.0,24.528,24.911,25.503,25.015,24.5,25.0,25.5,25.0,25.658,25.75
93.5,24.535,24.918,25.512,25.023,24.5,25.0,25.5,25.0,25.661,25.75
94.0,24.541,24.925,25.521,25.03,24.5,25.0,25.5,25.0,25.664,25.75
94.5,24.548,24.933,25.529,25.038,24.5,25.0,25.5,25.0,25.667,25.75
95.0,24.555,24.94,25.538,25.046,24.5,25.0,25.5,25.0,25.67,25.75
95.5,24.561,24.948,25.547,25.053,24.5,25.0,25.5,25.0,25.673,25.75
96.0,24.568,24.955,25.555,25.061,24.5,25.0,25.5,25.0,25.676,25.75
96.5,24.575,24.962,25.564,25.068,24.5,25.0,25.5,25.0,25.68,25.75
97.0,24.581,24.97,25.572,25.076,24.5,25.0,25.5,25.0,25.683,25.75
97.5,24.588,24.977,25.581,25.084,24.5,25.0,25.5,25.0,25.686,25.75
98.0,24.595,24.985,25.59,25.091,24.5,25.0,25.5,25.0,25.689,25.75
98.5,24.601,24.992,25.598,25.099,24.5,25.0,25.5,25.0,25.692,25.75
99.0,24.608,24.999,25.607,25.107,24.5,25.0,25.5,25.0,25.695,25.75
99.5,24.615,25.007,25.615,25.114,24.5,25.0,25.5,25.0,25.698,25.75
100.0,24.621,25.014,25.624,25.122,24.5,25.0,25.5,25.0,25.701,25.75
